Date,TemperatureMin,TemperatureMax,TemperatureMoyenne,Precipitations,HygrometrieMin,HygrometrieMax,HygrometrieMoyenne
2011-05-14,17.7000007629395,25,21.3500003814697,0,46,86,69
2011-05-15,14.1000003814697,20.8999996185303,17.5,0,28,65,47
2011-05-16,12.8999996185303,24.7999992370605,18.8500003814697,0,27,63,46
2011-05-17,9.89999961853027,24.6000003814697,17.25,0,32,85,58
2011-05-18,11.8000001907349,24.3999996185303,18.1000003814697,0,37,88,62
2011-05-19,12.3000001907349,26.2999992370605,19.2999992370605,0,31,78,55
2011-05-20,13.6999998092651,26.8999996185303,20.2999992370605,0,30,79,55
2011-05-21,13,27.2999992370605,20.1499996185303,0,26,81,49
2011-05-22,13.1000003814697,30.8999996185303,22,0,29,74,49
2011-05-23,18.3999996185303,31.3999996185303,24.8999996185303,0,25,72,46
2011-05-24,17.7000007629395,33.7999992370605,25.75,0,14,68,40
2011-05-25,18.2999992370605,31.5,24.8999996185303,0,23,72,45
2011-05-26,15.8000001907349,29.7999992370605,22.7999992370605,0,35,81,63
2011-05-27,20.3999996185303,24.8999996185303,22.6499996185303,0,26,71,49
2011-05-28,14.1000003814697,26.3999996185303,20.25,0,23,75,46
2011-05-29,11.6999998092651,27,19.3500003814697,0,26,69,44
2011-05-30,13.8999996185303,26.3999996185303,20.1499996185303,0,28,74,48
2011-05-31,16.6000003814697,23.2000007629395,19.8999996185303,0.600000023841858,47,73,61
2011-06-01,12.6999998092651,19.6000003814697,16.1499996185303,0.400000005960464,51,72,60
2011-06-02,13.8000001907349,18.3999996185303,16.1000003814697,12.6000003814697,74,93,85
2011-06-03,12.8000001907349,21.7999992370605,17.2999992370605,42.2000007629395,71,96,88
2011-06-04,16.8999996185303,22.5,19.7000007629395,36.7999992370605,73,93,84
2011-06-05,16.1000003814697,23.7999992370605,19.9500007629395,0.400000005960464,51,95,78
2011-06-06,13.5,23.8999996185303,18.7000007629395,0,53,87,69
2011-06-07,14.8000001907349,24.6000003814697,19.7000007629395,5,37,91,73
2011-06-08,16.7999992370605,23.6000003814697,20.2000007629395,0,41,92,66
