Date,TemperatureMin,TemperatureMax,TemperatureMoyenne,Precipitations,HygrometrieMin,HygrometrieMax,HygrometrieMoyenne
2000-10-01,12.3999996185303,18.1000003814697,15.25,0,68,96,82
2000-10-02,8.39999961853027,12.8999996185303,10.6499996185303,16,86,95,90.5
2000-10-03,8.89999961853027,16.3999996185303,12.6499996185303,0,56,95,75.5
2000-10-04,5.59999990463257,18.2999992370605,11.9499998092651,0.200000002980232,60,96,78
2000-10-05,12.3000001907349,17.5,14.8999996185303,0,66,92,79
2000-10-06,8.89999961853027,17.1000003814697,13,0,45,88,66.5
2000-10-07,2.40000009536743,15.6999998092651,9.05000019073486,0,42,93,67.5
2000-10-08,1.70000004768372,15.6999998092651,8.69999980926514,2,51,94,72.5
2000-10-09,9,17.1000003814697,13.0500001907349,2,57,93,75
2000-10-10,10.5,15,12.75,22.5,47,91,69
2000-10-11,8.60000038146973,13.3000001907349,10.9499998092651,28.6000003814697,69,93,81
2000-10-12,7.69999980926514,13.3000001907349,10.5,14.8999996185303,82,95,88.5
2000-10-13,9.89999961853027,12.6000003814697,11.25,15.8000001907349,82,95,88.5
2000-10-14,11,16.2000007629395,13.6000003814697,1.60000002384186,72,95,83.5
2000-10-15,12.1999998092651,15.6000003814697,13.8999996185303,10.8999996185303,80,95,87.5
2000-10-16,9.60000038146973,17,13.3000001907349,2.20000004768372,64,94,79
2000-10-17,8.60000038146973,16.8999996185303,12.75,1.20000004768372,64,94,79
2000-10-18,6.80000019073486,16.6000003814697,11.6999998092651,0,61,95,78
2000-10-19,5.09999990463257,16.7000007629395,10.8999996185303,0.200000002980232,56,95,75.5
2000-10-20,4.30000019073486,17.5,10.8999996185303,0.200000002980232,61,96,78.5
2000-10-21,4.40000009536743,18.7999992370605,11.6000003814697,0.200000002980232,61,95,78
2000-10-22,4.09999990463257,20.2999992370605,12.1999998092651,0.400000005960464,52,95,73.5
2000-10-23,4.90000009536743,17.7000007629395,11.3000001907349,0,57,96,76.5
2000-10-24,11.3000001907349,19.5,15.3999996185303,0.200000002980232,60,93,76.5
2000-10-25,5.80000019073486,18.3999996185303,12.1000003814697,0.200000002980232,62,96,79
2000-10-26,7.59999990463257,14.8999996185303,11.25,1,80,96,88
2000-10-27,9,16.5,12.75,0.200000002980232,61,96,78.5
2000-10-28,2.90000009536743,16.5,9.69999980926514,0.200000002980232,65,97,81
2000-10-29,7.30000019073486,14.1999998092651,10.75,2.20000004768372,80,95,87.5
2000-10-30,7.80000019073486,20,13.8999996185303,0,41,95,68
2000-10-31,9.89999961853027,10.6999998092651,10.3000001907349,18.5,44,86,65
2000-11-01,6.69999980926514,15.8000001907349,11.25,0.800000011920929,53,92,72.5
2000-11-02,6.30000019073486,12.5,9.39999961853027,8,58,87,72.5
2000-11-03,7,10.3999996185303,8.69999980926514,23.7999992370605,84,94,89
2000-11-04,6.19999980926514,13,9.60000038146973,6.30000019073486,51,93,72
2000-11-05,1.39999997615814,13.1999998092651,7.30000019073486,0,52,95,73.5
2000-11-06,3.90000009536743,13.1000003814697,8.5,34.2999992370605,49,91,70
2000-11-07,8.5,13.3999996185303,10.9499998092651,2,44,72,58
2000-11-08,7.19999980926514,12.5,9.85000038146973,3,45,87,66
2000-11-09,6.69999980926514,11.3000001907349,9,2,70,90,80
2000-11-10,5.90000009536743,11.5,8.69999980926514,0.400000005960464,73,93,83
2000-11-11,-1.79999995231628,13.6000003814697,5.90000009536743,0,46,95,70.5
2000-11-12,0.400000005960464,20,10.1999998092651,0,40,91,65.5
2000-11-13,12.5,21.5,17,13.8000001907349,33,84,58.5
2000-11-14,7.30000019073486,7.59999990463257,7.44999980926514,16.1000003814697,87,95,91
2000-11-15,1.60000002384186,10.1999998092651,5.90000009536743,0,69,95,82
2000-11-16,0.200000002980232,6.80000019073486,3.5,0,79,96,87.5
2000-11-17,4.40000009536743,6.59999990463257,5.5,13.1999998092651,70,94,82
2000-11-18,-1,8.80000019073486,3.90000009536743,0.400000005960464,59,94,76.5
2000-11-19,-1.10000002384186,7.80000019073486,3.34999990463257,9,54,90,72
2000-11-20,5.80000019073486,8.30000019073486,7.05000019073486,5.40000009536743,86,94,90
2000-11-21,5,10.6999998092651,7.84999990463257,3.20000004768372,60,90,75
2000-11-22,6.40000009536743,10.6000003814697,8.5,0.400000005960464,70,95,82.5
2000-11-23,5.69999980926514,9.89999961853027,7.80000019073486,14.6999998092651,91,96,93.5
2000-11-24,4.59999990463257,7.69999980926514,6.15000009536743,9.89999961853027,83,96,89.5
2000-11-25,2.90000009536743,10,6.44999980926514,14.8000001907349,74,95,84.5
2000-11-26,3.90000009536743,10.6000003814697,7.25,8.5,64,92,78
2000-11-27,3.90000009536743,9.30000019073486,6.59999990463257,0,70,88,79
2000-11-28,8,13.1000003814697,10.5500001907349,0.200000002980232,77,95,86
2000-11-29,2.79999995231628,7,4.90000009536743,0.200000002980232,96,97,96.5
2000-11-30,4.40000009536743,14.6999998092651,9.55000019073486,0.200000002980232,63,97,80
2000-12-01,0.800000011920929,6.90000009536743,3.84999990463257,0.400000005960464,90,97,93.5
2000-12-02,5.69999980926514,10.1999998092651,7.94999980926514,2.20000004768372,85,96,90.5
2000-12-03,7.30000019073486,11.8000001907349,9.55000019073486,2.20000004768372,73,96,84.5
2000-12-04,0.300000011920929,8,4.15000009536743,0,84,97,90.5
2000-12-05,-0.400000005960464,9.30000019073486,4.44999980926514,0,87,97,92
2000-12-06,1,11,6,5.30000019073486,91,96,93.5
2000-12-07,1.79999995231628,17.5,9.64999961853027,0.800000011920929,46,97,71.5
2000-12-08,15.1000003814697,19.5,17.2999992370605,2,24,86,55
