note,velocity,time_symb,pitch,hand,time_wav
57,47,21.333333333333332,A3,R,10.666666666666666
61,0,21.333333333333332,C#4,R,10.666666666666666
64,0,21.333333333333332,E4,R,10.666666666666666
57,0,21.5,A3,R,10.75
45,29,21.75,A2,L,10.875
49,0,21.75,C#3,L,10.875
45,0,21.75,A2,L,10.875
49,35,21.75,C#3,R,10.875
45,0,22.0,A2,L,11.0
49,0,22.0,C#3,R,11.0
57,44,22.125,A3,R,11.0625
49,36,22.5,C#3,R,11.25
57,0,22.5,A3,R,11.25
45,38,22.5,A2,L,11.25
49,0,23.0,C#3,R,11.5
57,41,23.0,A3,R,11.5
45,0,23.0,A2,L,11.5
57,0,23.166666666666668,A3,R,11.583333333333334
45,43,23.25,A2,L,11.625
49,37,23.333333333333332,C#3,R,11.666666666666666
49,0,23.5,C#3,R,11.75
49,37,23.5,C#3,R,11.75
49,0,23.75,C#3,R,11.875
57,45,23.75,A3,R,11.875
50,54,24.0,D3,R,12.0
47,47,24.0,B2,L,12.0
45,0,24.0,A2,L,12.0
57,0,24.0,A3,R,12.0
50,0,24.5,D3,R,12.25
57,51,24.583333333333332,A3,R,12.291666666666666
57,0,24.666666666666664,A3,R,12.333333333333332
47,0,24.75,B2,L,12.375
49,43,24.8125,C#3,L,12.40625
52,46,24.833333333333332,E3,R,12.416666666666666
52,0,25.0,E3,R,12.5
49,0,25.0,C#3,L,12.5
57,51,25.25,A3,R,12.625
50,50,25.5,D3,L,12.75
57,0,25.5,A3,R,12.75
66,41,25.5,F#4,R,12.75
57,50,26.0,A3,R,13.0
66,0,26.0,F#4,R,13.0
50,0,26.0,D3,L,13.0
57,0,26.4,A3,R,13.2
66,56,26.4,F#4,R,13.2
50,44,26.5,D3,L,13.25
54,40,26.5,F#3,L,13.25
66,0,26.799999999999997,F#4,R,13.399999999999999
57,38,26.8,A3,R,13.4
50,0,27.0,D3,L,13.5
54,0,27.0,F#3,L,13.5
57,0,27.2,A3,R,13.6
66,55,27.2,F#4,R,13.6
50,44,27.25,D3,L,13.625
54,42,27.25,F#3,L,13.625
66,0,27.599999999999998,F#4,R,13.799999999999999
57,46,27.6,A3,R,13.8
66,60,28.0,F#4,R,14.0
57,0,28.0,A3,R,14.0
50,0,28.0,D3,L,14.0
54,0,28.0,F#3,L,14.0
50,46,28.0,D3,L,14.0
54,39,28.25,F#3,R,14.125
57,44,28.5,A3,R,14.25
54,0,28.5,F#3,R,14.25
50,0,28.75,D3,L,14.375
50,52,28.875,D3,L,14.4375
54,42,28.875,F#3,L,14.4375
50,0,29.0,D3,L,14.5
54,0,29.0,F#3,L,14.5
50,52,29.0,D3,L,14.5
54,42,29.0,F#3,L,14.5
57,0,29.0,A3,R,14.5
67,61,29.0,G4,R,14.5
66,0,29.0,F#4,R,14.5
57,50,29.125,A3,R,14.5625
67,0,29.125,G4,R,14.5625
57,0,29.5,A3,R,14.75
57,57,29.75,A3,L,14.875
54,0,29.75,F#3,L,14.875
50,0,29.75,D3,L,14.875
69,65,29.75,A4,R,14.875
54,53,29.75,F#3,L,14.875
69,0,30.0,A4,R,15.0
54,0,30.0,F#3,L,15.0
57,0,30.0,A3,L,15.0
62,40,30.25,D4,R,15.125
62,0,30.375,D4,R,15.1875
74,69,30.375,D5,R,15.1875
74,0,30.5,D5,R,15.25
55,54,30.5,G3,L,15.25
83,77,30.5,B5,R,15.25
62,47,31.0,D4,R,15.5
55,0,31.0,G3,L,15.5
59,53,31.083333333333332,B3,L,15.541666666666666
59,0,31.333333333333332,B3,L,15.666666666666666
55,48,31.333333333333332,G3,L,15.666666666666666
55,48,31.5,G3,L,15.75
55,0,31.5,G3,L,15.75
55,0,31.75,G3,L,15.875
59,41,31.75,B3,L,15.875
62,46,31.75,D4,R,15.875
62,0,31.75,D4,R,15.875
59,0,32.0,B3,L,16.0
83,0,32.0,B5,R,16.0
85,78,32.0,C#6,R,16.0
55,43,32.0,G3,L,16.0
62,0,32.0,D4,R,16.0
55,0,32.375,G3,L,16.1875
86,85,32.375,D6,L,16.1875
85,0,32.5,C#6,R,16.25
62,43,32.5,D4,R,16.25
86,0,32.5,D6,L,16.25
86,85,32.5,D6,L,16.25
59,43,32.5,B3,L,16.25
86,0,33.0,D6,L,16.5
59,0,33.0,B3,L,16.5
62,0,33.0,D4,R,16.5
86,83,33.0,D6,R,16.5
55,47,33.0,G3,L,16.5
55,0,33.25,G3,L,16.625
59,37,33.25,B3,L,16.625
62,39,33.25,D4,R,16.625
59,0,33.5,B3,L,16.75
55,33,33.5,G3,L,16.75
62,0,33.5,D4,R,16.75
79,75,33.5,G5,R,16.75
62,38,34.0,D4,R,17.0
55,0,34.0,G3,L,17.0
59,28,34.0,B3,L,17.0
79,0,34.0,G5,R,17.0
79,75,34.0,G5,R,17.0
86,0,34.0,D6,R,17.0
81,83,34.25,A5,R,17.125
79,75,34.25,G5,R,17.125
79,0,34.25,G5,R,17.125
62,0,34.25,D4,R,17.125
55,43,34.25,G3,L,17.125
59,0,34.25,B3,L,17.125
81,0,34.5,A5,R,17.25
79,0,34.5,G5,R,17.25
81,83,34.5,A5,R,17.25
55,0,34.5,G3,L,17.25
62,36,34.625,D4,L,17.3125
59,45,34.625,B3,L,17.3125
81,0,34.625,A5,R,17.3125
83,79,34.625,B5,R,17.3125
57,52,35.0,A3,L,17.5
62,0,35.0,D4,L,17.5
59,0,35.0,B3,L,17.5
83,0,35.0,B5,R,17.5
83,76,35.0,B5,R,17.5
61,48,35.5,C#4,L,17.75
57,0,35.5,A3,L,17.75
57,43,35.75,A3,L,17.875
61,33,36.0,C#4,L,18.0
57,43,36.0,A3,L,18.0
61,0,36.0,C#4,L,18.0
76,70,36.0,E5,R,18.0
83,0,36.0,B5,R,18.0
57,0,36.0,A3,L,18.0
64,51,36.25,E4,R,18.125
57,42,36.5,A3,L,18.25
61,0,36.5,C#4,L,18.25
78,82,36.5,F#5,R,18.25
64,0,36.5,E4,R,18.25
79,87,36.875,G5,R,18.4375
78,0,36.875,F#5,R,18.4375
61,50,37.0,C#4,L,18.5
57,0,37.0,A3,L,18.5
57,0,37.0,A3,L,18.5
76,0,37.0,E5,R,18.5
79,0,37.0,G5,R,18.5
64,43,37.0,E4,R,18.5
61,0,37.333333333333336,C#4,L,18.666666666666668
57,46,37.333333333333336,A3,L,18.666666666666668
79,81,37.5,G5,R,18.75
61,35,37.666666666666664,C#4,L,18.833333333333332
57,0,37.66666666666667,A3,L,18.833333333333336
64,46,37.75,E4,R,18.875
64,0,37.75,E4,R,18.875
73,76,38.0,C#5,R,19.0
61,0,38.0,C#4,L,19.0
79,0,38.0,G5,R,19.0
64,0,38.0,E4,R,19.0
58,48,38.0,A#3,L,19.0
58,0,38.4,A#3,L,19.2
61,43,38.4,C#4,L,19.2
64,49,38.5,E4,R,19.25
61,0,38.8,C#4,L,19.4
76,68,38.8,E5,L,19.4
73,0,39.0,C#5,R,19.5
64,0,39.0,E4,R,19.5
59,47,39.0,B3,R,19.5
59,0,39.125,B3,R,19.5625
74,77,39.125,D5,R,19.5625
76,0,39.199999999999996,E5,L,19.599999999999998
62,50,39.25,D4,R,19.625
74,0,39.25,D5,R,19.625
62,0,39.5,D4,R,19.75
74,69,39.5,D5,R,19.75
59,53,39.6,B3,L,19.8
76,70,39.75,E5,R,19.875
74,0,39.75,D5,R,19.875
62,46,40.0,D4,L,20.0
59,0,40.0,B3,L,20.0
74,71,40.0,D5,R,20.0
76,0,40.0,E5,R,20.0
73,69,40.25,C#5,R,20.125
74,0,40.25,D5,R,20.125
55,54,40.5,G3,L,20.25
74,72,40.5,D5,R,20.25
73,0,40.5,C#5,R,20.25
62,0,40.5,D4,L,20.25
74,0,40.75,D5,R,20.375
71,65,40.75,B4,R,20.375
62,42,41.0,D4,R,20.5
59,45,41.0,B3,L,20.5
55,0,41.0,G3,L,20.5
71,0,41.0,B4,R,20.5
73,71,41.125,C#5,R,20.5625
55,45,41.25,G3,L,20.625
59,0,41.25,B3,L,20.625
74,79,41.25,D5,R,20.625
73,0,41.25,C#5,R,20.625
59,55,41.5,B3,L,20.75
55,0,41.5,G3,L,20.75
76,81,41.5,E5,R,20.75
74,0,41.5,D5,R,20.75
62,45,41.5,D4,L,20.75
76,0,41.75,E5,R,20.875
78,86,41.75,F#5,R,20.875
55,52,42.0,G3,L,21.0
62,0,42.0,D4,L,21.0
62,0,42.0,D4,R,21.0
59,0,42.0,B3,L,21.0
78,0,42.0,F#5,R,21.0
79,83,42.0,G5,R,21.0
81,82,42.25,A5,R,21.125
59,57,42.25,B3,L,21.125
79,0,42.25,G5,R,21.125
81,0,42.5,A5,R,21.25
62,42,42.5,D4,R,21.25
59,0,42.5,B3,L,21.25
59,57,42.5,B3,L,21.25
83,74,42.5,B5,L,21.25
59,0,42.75,B3,L,21.375
55,50,42.75,G3,L,21.375
85,87,42.75,C#6,R,21.375
62,0,42.75,D4,R,21.375
83,0,42.75,B5,L,21.375
55,0,43.0,G3,L,21.5
55,0,43.0,G3,L,21.5
86,84,43.0,D6,R,21.5
85,0,43.0,C#6,R,21.5
55,50,43.0,G3,L,21.5
83,81,43.166666666666664,B5,R,21.583333333333332
86,0,43.166666666666664,D6,R,21.583333333333332
62,48,43.25,D4,L,21.625
55,0,43.25,G3,L,21.625
59,52,43.25,B3,L,21.625
59,0,43.5,B3,L,21.75
62,0,43.5,D4,L,21.75
83,0,43.5,B5,R,21.75
55,51,43.5,G3,L,21.75
85,85,43.583333333333336,C#6,R,21.791666666666668
86,80,43.666666666666664,D6,R,21.833333333333332
85,0,43.66666666666667,C#6,R,21.833333333333336
55,0,43.75,G3,L,21.875
59,54,43.75,B3,L,21.875
86,0,43.83333333333333,D6,R,21.916666666666664
86,80,43.833333333333336,D6,R,21.916666666666668
62,58,43.833333333333336,D4,R,21.916666666666668
59,0,44.0,B3,L,22.0
83,75,44.0,B5,R,22.0
86,0,44.0,D6,R,22.0
62,0,44.0,D4,R,22.0
57,60,44.375,A3,L,22.1875
62,49,44.375,D4,L,22.1875
81,69,44.375,A5,R,22.1875
66,36,44.375,F#4,L,22.1875
83,0,44.375,B5,R,22.1875
57,0,44.5,A3,L,22.25
81,0,44.5,A5,R,22.25
62,0,44.5,D4,L,22.25
66,0,44.5,F#4,L,22.25
90,63,44.625,F#6,R,22.3125
90,0,44.75,F#6,R,22.375
86,65,44.8125,D6,R,22.40625
86,0,45.0,D6,R,22.5
93,77,45.0,A6,R,22.5
93,0,45.25,A6,R,22.625
90,70,45.25,F#6,R,22.625
86,64,45.5,D6,R,22.75
90,0,45.5,F#6,R,22.75
50,63,45.75,D3,L,22.875
54,41,45.75,F#3,L,22.875
45,53,45.75,A2,L,22.875
86,0,45.75,D6,R,22.875
81,54,45.75,A5,R,22.875
50,0,46.0,D3,L,23.0
78,61,46.0,F#5,R,23.0
81,0,46.0,A5,R,23.0
54,0,46.0,F#3,L,23.0
45,0,46.0,A2,L,23.0
74,55,46.25,D5,R,23.125
78,0,46.25,F#5,R,23.125
69,63,46.4375,A4,R,23.21875
74,0,46.4375,D5,R,23.21875
69,0,46.5,A4,R,23.25
66,53,46.75,F#4,R,23.375
66,0,47.0,F#4,R,23.5
62,57,47.0,D4,R,23.5
45,50,47.1875,A2,L,23.59375
57,59,47.1875,A3,R,23.59375
62,0,47.1875,D4,R,23.59375
33,62,47.1875,A1,L,23.59375
57,59,47.25,A3,R,23.625
33,0,47.25,A1,L,23.625
45,50,47.25,A2,L,23.625
45,0,47.25,A2,L,23.625
33,62,47.25,A1,L,23.625
57,0,47.25,A3,R,23.625
57,0,47.5,A3,R,23.75
67,67,47.5,G4,R,23.75
67,0,47.625,G4,R,23.8125
61,52,47.625,C#4,R,23.8125
33,62,47.75,A1,L,23.875
45,50,47.75,A2,L,23.875
33,0,47.75,A1,L,23.875
45,0,47.75,A2,L,23.875
61,0,47.875,C#4,R,23.9375
57,57,47.9375,A3,R,23.96875
33,66,47.9375,A1,L,23.96875
45,56,47.9375,A2,L,23.96875
33,0,47.9375,A1,L,23.96875
45,0,47.9375,A2,L,23.96875
57,0,48.0,A3,R,24.0
33,0,48.0,A1,L,24.0
57,57,48.0,A3,R,24.0
33,66,48.0,A1,L,24.0
45,56,48.0,A2,L,24.0
45,0,48.0,A2,L,24.0
57,0,48.25,A3,R,24.125
64,57,48.291666666666664,E4,R,24.145833333333332
64,0,48.33333333333333,E4,R,24.166666666666664
61,54,48.416666666666664,C#4,R,24.208333333333332
61,0,48.5,C#4,R,24.25
66,74,48.75,F#4,R,24.375
33,0,48.75,A1,L,24.375
45,0,48.75,A2,L,24.375
38,86,48.75,D2,L,24.375
66,0,49.0,F#4,R,24.5
57,58,49.0,A3,R,24.5
38,0,49.0,D2,L,24.5
66,62,49.125,F#4,R,24.5625
57,0,49.1875,A3,R,24.59375
38,50,49.1875,D2,R,24.59375
38,50,49.25,D2,R,24.625
38,0,49.25,D2,R,24.625
57,49,49.34375,A3,R,24.671875
38,0,49.34375,D2,R,24.671875
57,49,49.375,A3,R,24.6875
57,0,49.375,A3,R,24.6875
38,60,49.5,D2,L,24.75
66,0,49.5,F#4,R,24.75
66,60,49.5,F#4,R,24.75
57,0,49.5,A3,R,24.75
38,0,49.666666666666664,D2,L,24.833333333333332
57,63,49.666666666666664,A3,R,24.833333333333332
